junior_colleges,top_5
Hwa Chong Institution ,1
Raffles Institution,1
Anglo-Chinese School Independent,1
Victoria Junior College,1
308274,1
Eunoia Junior College,0
National Junior College,0
Victoria Junior College,0
Anglo-Chinese Junior College,0
Dunman High School ,0
River Valley High School,0
Temasek Junior College,0
357691,0
Anderson Serangoon Junior College,0
Catholic Junior College,0
Tampines Meridian Junior College,0
Jurong Pioneer Junior College,0
Yishun Innova Junior College,0