primary_school,top_25
Admiralty Primary School,0
Ahmad Ibrahim Primary School,0
Ai Tong School,1
Alexandra Primary School,0
Anchor Green Primary School,0
Anderson Primary School,0
Ang Mo Kio Primary School,0
Anglo-Chinese School (Junior),1
Anglo-Chinese School (Primary),1
Angsana Primary School,0
Beacon Primary School,0
Bedok Green Primary School,0
Bendemeer Primary School,0
Blangah Rise Primary School,0
Boon Lay Garden Primary School,0
Bukit Panjang Primary School,0
Bukit Timah Primary School,0
Bukit View Primary School,0
CHIJ Katong Primary,0
099757,0
679287,0
CHIJ Our Lady of Good Counsel,0
CHIJ Our Lady of the Nativity,0
CHIJ Primary Toa Payoh,0
569405,1
Canberra Primary School,0
Canossa Catholic Primary School,0
Cantonment Primary School,0
Casuarina Primary School,0
Catholic High School,1
Cedar Primary School,0
Changkat Primary School,0
768959,0
Chongzheng Primary School,0
Chua Chu Kang Primary School,0
Clementi Primary School,0
Compassvale Primary School,0
Concord Primary School,0
Corporation Primary School,0
Damai Primary School,0
Dazhong Primary School,0
De La Salle School,0
East Spring Primary School,0
Edgefield Primary School,0
Elias Park Primary School,0
Endeavour Primary School,0
Eunos Primary School,0
Evergreen Primary School,0
Fairfield Methodist School (Primary),1
Farrer Park Primary School,0
Fengshan Primary School,0
Fern Green Primary School,0
Fernvale Primary School,0
First Toa Payoh Primary School,0
Frontier Primary School,0
Fuchun Primary School,0
Fuhua Primary School,0
Gan Eng Seng Primary School,0
Geylang Methodist School (Primary),0
Gongshang Primary School,0
Greendale Primary School,0
Greenridge Primary School,0
Greenwood Primary School,0
Guangyang Primary School,0
Haig Girls School,0
Henry Park Primary School,1
536451,1
Hong Wen School,1
Horizon Primary School,0
Hougang Primary School,0
Huamin Primary School,0
Innova Primary School,0
Jiemin Primary School,0
Jing Shan Primary School,0
Junyuan Primary School,0
Jurong Primary School,0
Jurong West Primary School,0
Juying Primary School,0
Keming Primary School,0
Kheng Cheng School,0
Kong Hwa School,1
Kranji Primary School,0
Kuo Chuan Presbyterian Primary School,0
Lakeside Primary School,0
Lianhua Primary School,0
Maha Bodhi School,1
368051,1
Marsiling Primary School,0
Marymount Convent School,0
Mayflower Primary School,0
Mee Toh School,0
Meridian Primary School,0
599986,1
Montfort Junior School,0
Nan Chiau Primary School,0
Nan Hua Primary School,1
Nanyang Primary School,1
Naval Base Primary School,0
New Town Primary School,0
Ngee Ann Primary School,0
North Spring Primary School,0
North View Primary School,0
North Vista Primary School,0
Northland Primary School,0
Northoaks Primary School,0
Oasis Primary School,0
Opera Estate Primary School,0
Palm View Primary School,0
Park View Primary School,0
Pasir Ris Primary School,0
536742,0
Pei Chun Public School,1
Pei Hwa Presbyterian Primary School,1
Pei Tong Primary School,0
Peiying Primary School,0
Pioneer Primary School,0
Poi Ching School,1
Princess Elizabeth Primary School,0
Punggol Cove Primary School,0
Punggol Green Primary School,0
Punggol Primary School,0
Punggol View Primary School,0
Qifa Primary School,0
Qihua Primary School,0
Queenstown Primary School,0
Radin Mas Primary School,0
289072,1
Red Swastika School,1
River Valley Primary School,0
Riverside Primary School,0
Rivervale Primary School,0
Rosyth School,1
Rulang Primary School,1
Sembawang Primary School,0
Seng Kang Primary School,0
Sengkang Green Primary School,0
Shuqun Primary School,0
Si Ling Primary School,0
309434,1
South View Primary School,0
Springdale Primary School,0
359337,0
469701,0
659401,0
556742,0
529706,1
309331,0
387724,0
455789,0
Stamford Primary School,0
Tampines North Primary School,0
Tampines Primary School,0
Tanjong Katong Primary School,0
Tao Nan School,1
Teck Ghee Primary School,0
Teck Whye Primary School,0
Telok Kurau Primary School,0
Temasek Primary School,0
Townsville Primary School,0
Unity Primary School,0
Waterway Primary School,0
Wellington Primary School,0
West Grove Primary School,0
West Spring Primary School,0
West View Primary School,0
Westwood Primary School,0
White Sands Primary School,0
Woodgrove Primary School,0
Woodlands Primary School,0
Woodlands Ring Primary School,0
Xinghua Primary School,0
Xingnan Primary School,0
Xinmin Primary School,0
Xishan Primary School,0
Yangzheng Primary School,0
Yew Tee Primary School,0
Yio Chu Kang Primary School,0
Yishun Primary School,0
Yu Neng Primary School,0
Yuhua Primary School,0
Yumin Primary School,0
Zhangde Primary School,0
Zhenghua Primary School,0
Zhonghua Primary School,0